pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
7841,7564,0.00217,Middleborough Center,3.928,41.8942,-70.9257,middleborough-center-ma,MA,5,-70.9257,41.8942,CDP,173,1996
7692,8043,0.00013,Mansfield Center,2.756,42.022,-71.2178,mansfield-center-ma,MA,5,-71.2178,42.022,CDP,174,2791
7590,7740,-0.01938,Halifax,15.974,42.0026,-70.8637,halifax-ma,MA,,-70.8637,42.0026,Town,175,475
7475,7707,-0.0301,West Bridgewater,15.325,42.0216,-71.0267,west-bridgewater-ma,MA,,-71.0267,42.0216,Town,176,488
7470,7560,-0.0119,Hamilton,14.177,42.6262,-70.8572,hamilton-ma,MA,,-70.8572,42.6262,Town,177,527
7173,7058,-0.01294,Clinton,1.493,42.4189,-71.6862,clinton-ma,MA,5,-71.6862,42.4189,CDP,178,4804
7161,7435,-0.00776,Whitinsville,3.642,42.1188,-71.6725,whitinsville-ma,MA,5,-71.6725,42.1188,CDP,179,1966
6994,7151,-0.02195,Stow,17.323,42.4297,-71.5125,stow-ma,MA,,-71.5125,42.4297,Town,180,404
6920,6835,0.01244,Harvard,26.441,42.5043,-71.5885,harvard-ma,MA,,-71.5885,42.5043,Town,181,262
6879,6730,-0.0042,Cochituate,3.809,42.3277,-71.3523,cochituate-ma,MA,5,-71.3523,42.3277,CDP,182,1806
6822,6532,0.01082,Northborough,3.285,42.312,-71.6477,northborough-ma,MA,5,-71.6477,42.312,CDP,183,2077
6783,6985,-0.02892,Lincoln,14.228,42.4255,-71.3108,lincoln-ma,MA,,-71.3108,42.4255,Town,184,477
6771,6770,0.00015,Berkley,16.512,41.8381,-71.0776,berkley-ma,MA,,-71.0776,41.8381,Town,185,410
6657,6716,-0.00878,Merrimac,8.499,42.8386,-71.012,merrimac-ma,MA,,-71.012,42.8386,Town,186,783
6657,6714,-0.00849,Newbury,23.372,42.7704,-70.8724,newbury-ma,MA,,-70.8724,42.7704,Town,187,285
6655,6745,-0.01334,Groveland,8.88,42.7539,-71.0159,groveland-ma,MA,,-71.0159,42.7539,Town,188,749
6611,6506,0.01614,Mattapoisett,17.336,41.6614,-70.812,mattapoisett-ma,MA,,-70.812,41.6614,Town,189,381
6535,6211,0.01255,Walpole,2.81,42.1339,-71.2403,walpole-ma,MA,5,-71.2403,42.1339,CDP,190,2326
6505,6119,0.01514,Foxborough,2.878,42.064,-71.2484,foxborough-ma,MA,5,-71.2484,42.064,CDP,191,2260
6402,6310,0.01458,Ashburnham,38.334,42.6487,-71.9199,ashburnham-ma,MA,,-71.9199,42.6487,Town,192,167
6326,6224,0.01639,Mendon,17.766,42.0939,-71.5445,mendon-ma,MA,,-71.5445,42.0939,Town,193,356
6320,6668,0.00016,Medfield,4.948,42.187,-71.3004,medfield-ma,MA,5,-71.3004,42.187,CDP,194,1277
6244,6750,0.01249,Kingston,4.811,41.9962,-70.7215,kingston-ma,MA,5,-70.7215,41.9962,CDP,195,1298
6196,6163,-0.02838,East Falmouth,5.436,41.5682,-70.5574,east-falmouth-ma,MA,5,-70.5574,41.5682,CDP,196,1140
6183,6215,-0.00515,Southampton,28.148,42.2269,-72.7416,southampton-ma,MA,,-72.7416,42.2269,Town,197,220
6169,5202,0.01631,Yarmouth Port,6.019,41.7071,-70.2209,yarmouth-port-ma,MA,5,-70.2209,41.7071,CDP,198,1025
6104,6316,-0.03357,Dalton,21.77,42.4798,-73.1538,dalton-ma,MA,,-73.1538,42.4798,Town,199,280
6081,5978,-0.01395,Ware,6.22,42.2501,-72.2477,ware-ma,MA,5,-72.2477,42.2501,CDP,200,978
6046,6388,-0.00428,West Yarmouth,6.689,41.6472,-70.25,west-yarmouth-ma,MA,5,-70.25,41.6472,CDP,201,904
6041,4756,0.02966,East Harwich,8.02,41.7086,-70.0318,east-harwich-ma,MA,5,-70.0318,41.7086,CDP,202,753
5978,5372,0.02609,North Scituate,3.751,42.2128,-70.7663,north-scituate-ma,MA,5,-70.7663,42.2128,CDP,203,1594
5972,6997,-0.03662,Pinehurst,3.73,42.5335,-71.2335,pinehurst-ma,MA,5,-71.2335,42.5335,CDP,204,1601
5912,5725,0.03266,Rochester,33.57,41.7609,-70.839,rochester-ma,MA,,-70.839,41.7609,Town,205,176
5802,5669,0.02346,Bolton,19.946,42.4399,-71.6019,bolton-ma,MA,,-71.6019,42.4399,Town,206,291
5786,5749,0.00644,Eastham,13.968,41.8416,-69.9889,eastham-ma,MA,,-69.9889,41.8416,Town,207,414
5749,6217,-0.01995,Sharon,2.992,42.1175,-71.186,sharon-ma,MA,5,-71.186,42.1175,CDP,208,1921
5746,5689,0.00209,Adams,2.45,42.6291,-73.1187,adams-ma,MA,5,-73.1187,42.6291,CDP,209,2345
5723,4531,0.05493,The Pinehills,4.079,41.8958,-70.5949,the-pinehills-ma,MA,5,-70.5949,41.8958,CDP,210,1403
5715,5272,0.01097,Bliss Corner,2.001,41.6051,-70.9424,bliss-corner-ma,MA,5,-70.9424,41.6051,CDP,211,2856
5704,5837,0.00866,Hingham,3.098,42.2331,-70.8895,hingham-ma,MA,5,-70.8895,42.2331,CDP,212,1841
5606,7294,-0.07001,West Concord,3.376,42.4519,-71.4032,west-concord-ma,MA,5,-71.4032,42.4519,CDP,213,1661
5464,5810,-0.0155,Spencer,2.109,42.2486,-71.9931,spencer-ma,MA,5,-71.9931,42.2486,CDP,214,2591
5446,5926,0.00332,Oxford,3.464,42.1159,-71.8701,oxford-ma,MA,5,-71.8701,42.1159,CDP,215,1572
5422,5116,0.01441,Salisbury,5.881,42.8311,-70.8471,salisbury-ma,MA,5,-70.8471,42.8311,CDP,216,922
5374,5490,-0.02113,Boxborough,10.284,42.486,-71.521,boxborough-ma,MA,,-71.521,42.486,Town,217,523
5312,5386,-0.01374,Manchester,9.23,42.5626,-70.7606,manchester--by--the--sea-ma,MA,,-70.7606,42.5626,Town,218,576
5250,5308,-0.01093,Hadley,23.09,42.3565,-72.5686,hadley-ma,MA,,-72.5686,42.3565,Town,219,227
5233,5338,-0.01967,Marion,14.127,41.7068,-70.751,marion-ma,MA,,-70.751,41.7068,Town,220,370
5211,5329,-0.02214,Oak Bluffs,7.288,41.4572,-70.5561,oak-bluffs-ma,MA,,-70.5561,41.4572,Town,221,715
5211,3276,0.59066,Berlin,12.972,42.3849,-71.6339,berlin-ma,MA,,-71.6339,42.3849,Town,222,402
5103,5230,-0.02428,Carlisle,15.274,42.5368,-71.3613,carlisle-ma,MA,,-71.3613,42.5368,Town,223,334
5078,4561,0.00039,Raynham Center,4.216,41.9305,-71.0462,raynham-center-ma,MA,5,-71.0462,41.9305,CDP,224,1204
5056,4216,0.04333,Bellingham,5.392,42.094,-71.4786,bellingham-ma,MA,5,-71.4786,42.094,CDP,225,938
5051,5247,0.01081,Rockport,3.98,42.6407,-70.6202,rockport-ma,MA,5,-70.6202,42.6407,CDP,226,1269
5006,5003,0.0006,Paxton,14.689,42.3117,-71.9403,paxton-ma,MA,,-71.9403,42.3117,Town,227,341
4990,4852,0.02844,Boylston,16.057,42.355,-71.7162,boylston-ma,MA,,-71.7162,42.355,Town,228,311
4986,5905,-0.04373,Scituate,4.063,42.1803,-70.7344,scituate-ma,MA,5,-70.7344,42.1803,CDP,229,1227
4950,4923,0.00548,Wenham,7.659,42.6007,-70.8833,wenham-ma,MA,,-70.8833,42.6007,Town,230,646
4918,4826,0.0047,Ipswich,1.639,42.6757,-70.822,ipswich-ma,MA,5,-70.822,42.6757,CDP,231,3001
4865,4953,-0.01777,Hampden,19.611,42.0712,-72.4177,hampden-ma,MA,,-72.4177,42.0712,Town,232,248
4848,4455,0.01359,Millis-Clicquot,3.137,42.1668,-71.3492,millis--clicquot-ma,MA,5,-71.3492,42.1668,CDP,233,1545
4802,5190,-0.00683,Marshfield,5.053,42.1022,-70.6894,marshfield-ma,MA,5,-70.6894,42.1022,CDP,234,950
4796,4811,-0.00312,Tisbury,6.519,41.4731,-70.6174,tisbury-ma,MA,,-70.6174,41.4731,Town,235,736
4691,4772,-0.01697,Avon,4.291,42.1325,-71.054,avon-ma,MA,,-71.054,42.1325,Town,236,1093
4631,3643,0.05634,Hopedale,1.748,42.1269,-71.5403,hopedale-ma,MA,5,-71.5403,42.1269,CDP,237,2649
4578,4258,0.01779,North Plymouth,1.246,41.9753,-70.6806,north-plymouth-ma,MA,5,-70.6806,41.9753,CDP,238,3674
4576,4505,0.01576,West Newbury,13.447,42.7996,-70.9644,west-newbury-ma,MA,,-70.9644,42.7996,Town,239,340
4533,4787,-0.01371,North Westport,5.189,41.6731,-71.1111,north-westport-ma,MA,5,-71.1111,41.6731,CDP,240,874
4457,4673,-0.00045,Winchendon,2.265,42.6804,-72.042,winchendon-ma,MA,5,-72.042,42.6804,CDP,241,1968
4431,4843,-0.02272,Ocean Bluff-Brant Rock,2.175,42.1022,-70.6576,ocean-bluff--brant-rock-ma,MA,5,-70.6576,42.1022,CDP,242,2037
4431,4565,-0.00739,Williamstown,3.398,42.7089,-73.2014,williamstown-ma,MA,5,-73.2014,42.7089,CDP,243,1304
4415,4024,0.00387,Westborough,1.888,42.2674,-71.6175,westborough-ma,MA,5,-71.6175,42.2674,CDP,244,2338
4406,4706,-0.01674,Smith Mills,4.668,41.6467,-70.9984,smith-mills-ma,MA,5,-70.9984,41.6467,CDP,245,944
4361,4315,0.01066,Hubbardston,41.061,42.4951,-72.0023,hubbardston-ma,MA,,-72.0023,42.4951,Town,246,106
4354,3068,0.07986,East Dennis,4.835,41.7354,-70.1574,east-dennis-ma,MA,5,-70.1574,41.7354,CDP,247,901
4338,4408,-0.01588,Sherborn,15.788,42.2319,-71.373,sherborn-ma,MA,,-71.373,42.2319,Town,248,275
4167,3251,0.04097,Wilbraham,5.592,42.1321,-72.4382,wilbraham-ma,MA,5,-72.4382,42.1321,CDP,249,745
4140,3792,0.02147,Sagamore,3.33,41.7828,-70.5321,sagamore-ma,MA,5,-70.5321,41.7828,CDP,250,1243
4080,3744,0.02102,Forestdale,3.814,41.6835,-70.5108,forestdale-ma,MA,5,-70.5108,41.6835,CDP,251,1070
4044,3226,0.0534,North Lakeville,5.045,41.86,-70.9393,north-lakeville-ma,MA,5,-70.9393,41.86,CDP,252,802
4029,4123,-0.00568,Northwest Harwich,7.983,41.6936,-70.1053,northwest-harwich-ma,MA,5,-70.1053,41.6936,CDP,253,505
3994,3682,0.01992,Turners Falls,1.901,42.5967,-72.5565,turners-falls-ma,MA,5,-72.5565,42.5967,CDP,254,2101
3831,3628,0.00578,East Sandwich,7.516,41.7343,-70.4307,east-sandwich-ma,MA,5,-70.4307,41.7343,CDP,255,510
3753,2730,0.04453,Provincetown,1.787,42.0565,-70.1785,provincetown-ma,MA,5,-70.1785,42.0565,CDP,256,2100
3749,4159,-0.02649,North Pembroke,4.475,42.0977,-70.7833,north-pembroke-ma,MA,5,-70.7833,42.0977,CDP,257,838
3739,3882,0.00107,Orange,5.992,42.6054,-72.2921,orange-ma,MA,5,-72.2921,42.6054,CDP,258,624
3690,3687,0.00081,Brimfield,34.771,42.1282,-72.2054,brimfield-ma,MA,,-72.2054,42.1282,Town,259,106
3650,3563,0.02442,Wellfleet,19.784,41.9168,-70.0271,wellfleet-ma,MA,,-70.0271,41.9168,Town,260,184
3625,3656,-0.00848,Sunderland,14.22,42.4667,-72.5468,sunderland-ma,MA,,-72.5468,42.4667,Town,261,255
3500,3492,0.00229,Princeton,35.432,42.4541,-71.8775,princeton-ma,MA,,-71.8775,42.4541,Town,262,99
3496,3550,-0.01521,West Tisbury,25.03,41.3944,-70.6564,west-tisbury-ma,MA,,-70.6564,41.3944,Town,263,140
3465,3338,0.00815,South Duxbury,2.935,42.0181,-70.6897,south-duxbury-ma,MA,5,-70.6897,42.0181,CDP,264,1181
3379,3356,0.00685,Dunstable,16.456,42.6761,-71.4998,dunstable-ma,MA,,-71.4998,42.6761,Town,265,205
3325,3321,0.0012,Sheffield,47.41,42.1036,-73.3599,sheffield-ma,MA,,-73.3599,42.1036,Town,266,70
3307,2895,0.03215,South Dennis,4.55,41.7041,-70.1507,south-dennis-ma,MA,5,-70.1507,41.7041,CDP,267,727
3300,3512,-0.00542,Nahant,1.076,42.4182,-70.9327,nahant-ma,MA,5,-70.9327,42.4182,CDP,268,3067
3294,2158,0.09435,North Seekonk,1.399,41.8846,-71.3304,north-seekonk-ma,MA,5,-71.3304,41.8846,CDP,269,2355
3149,3180,-0.00975,Ashby,23.664,42.6763,-71.8325,ashby-ma,MA,,-71.8325,42.6763,Town,270,133
3121,3165,-0.0139,Millville,4.862,42.0366,-71.5788,millville-ma,MA,,-71.5788,42.0366,Town,271,642
3077,3523,-0.03482,Dennis Port,3.038,41.6681,-70.137,dennis-port-ma,MA,5,-70.137,41.6681,CDP,272,1013
2972,3040,-0.02237,Lanesborough,28.854,42.5359,-73.2411,lanesborough-ma,MA,,-73.2411,42.5359,Town,273,103
2968,2928,0.00338,Sandwich,3.621,41.7571,-70.498,sandwich-ma,MA,5,-70.498,41.7571,CDP,274,820
2925,3403,-0.03909,Acushnet Center,1.415,41.685,-70.9067,acushnet-center-ma,MA,5,-70.9067,41.685,CDP,275,2067
2893,2927,-0.01162,Plympton,14.681,41.9591,-70.8027,plympton-ma,MA,,-70.8027,41.9591,Town,276,197
2884,2884,0,Cordaville,1.816,42.2721,-71.5228,cordaville-ma,MA,5,-71.5228,42.2721,CDP,277,1588
2875,3173,-0.02509,Monument Beach,2.582,41.7189,-70.6,monument-beach-ma,MA,5,-70.6,41.7189,CDP,278,1113
2865,2434,0.03132,Ocean Grove,0.662,41.7288,-71.2092,ocean-grove-ma,MA,5,-71.2092,41.7288,CDP,279,4328
2830,3037,0.03322,Belchertown,5.031,42.2719,-72.4028,belchertown-ma,MA,5,-72.4028,42.2719,CDP,280,563
2812,2398,0.0384,West Wareham,3.731,41.7917,-70.7579,west-wareham-ma,MA,5,-70.7579,41.7917,CDP,281,754
2790,2479,0.0105,West Dennis,3.261,41.6667,-70.1659,west-dennis-ma,MA,5,-70.1659,41.6667,CDP,282,856
2778,3208,-0.03709,Buzzards Bay,1.916,41.7542,-70.6163,buzzards-bay-ma,MA,5,-70.6163,41.7542,CDP,283,1450
2760,3864,-0.08881,Hopkinton,1.532,42.2256,-71.5241,hopkinton-ma,MA,5,-71.5241,42.2256,CDP,284,1802
2751,2551,-0.03811,Ayer,1.326,42.5622,-71.5848,ayer-ma,MA,5,-71.5848,42.5622,CDP,285,2075
2705,1593,0.11454,Lunenburg,3.797,42.5934,-71.727,lunenburg-ma,MA,5,-71.727,42.5934,CDP,286,712
2677,2631,0.0045,Wareham Center,1.617,41.7475,-70.7201,wareham-center-ma,MA,5,-70.7201,41.7475,CDP,287,1656
2658,2596,0.00606,Pocasset,3.697,41.687,-70.6496,pocasset-ma,MA,5,-70.6496,41.687,CDP,288,719
2642,2660,-0.00677,Hardwick,38.601,42.3532,-72.2171,hardwick-ma,MA,,-72.2171,42.3532,Town,289,68
2639,3015,-0.03439,Fiskdale,3.168,42.1247,-72.1109,fiskdale-ma,MA,5,-72.1109,42.1247,CDP,290,833
2585,1903,0.04402,Vineyard Haven,1.304,41.4572,-70.6075,vineyard-haven-ma,MA,5,-70.6075,41.4572,CDP,291,1982
2552,3046,-0.04598,Topsfield,2.707,42.6394,-70.9553,topsfield-ma,MA,5,-70.9553,42.6394,CDP,292,943
2538,3370,-0.06139,Littleton Common,3.54,42.5345,-71.4721,littleton-common-ma,MA,5,-71.4721,42.5345,CDP,293,717
2527,2389,0.01404,Marshfield Hills,4.583,42.1433,-70.7291,marshfield-hills-ma,MA,5,-70.7291,42.1433,CDP,294,551
2518,1906,0.05577,Harwich Port,2.632,41.6734,-70.0654,harwich-port-ma,MA,5,-70.0654,41.6734,CDP,295,957
2506,2518,-0.0012,Dover,4.241,42.2467,-71.2681,dover-ma,MA,5,-71.2681,42.2467,CDP,296,591
2503,2925,-0.04026,Boxford,5.364,42.6637,-70.9842,boxford-ma,MA,5,-70.9842,42.6637,CDP,297,467
2486,2758,-0.01856,Norton Center,1.697,41.9745,-71.1885,norton-center-ma,MA,5,-71.1885,41.9745,CDP,298,1465
2482,2444,0.01555,Truro,20.953,42.0136,-70.0641,truro-ma,MA,,-70.0641,42.0136,Town,299,118
2451,2423,0.00286,North Brookfield,1.476,42.2712,-72.0842,north-brookfield-ma,MA,5,-72.0842,42.2712,CDP,300,1661
2435,2137,0.03178,Baldwinville,2.566,42.6048,-72.0788,baldwinville-ma,MA,5,-72.0788,42.6048,CDP,301,949
2431,2498,-0.02682,Williamsburg,25.536,42.4054,-72.726,williamsburg-ma,MA,,-72.726,42.4054,Town,302,95
2372,2548,-0.01821,Cedar Crest,1.458,42.0764,-70.6614,cedar-crest-ma,MA,5,-70.6614,42.0764,CDP,303,1627
2294,1880,0.04749,Hanson,1.835,42.065,-70.8498,hanson-ma,MA,5,-70.8498,42.065,CDP,304,1250
2232,2101,0.00225,Sturbridge,5.33,42.0971,-72.055,sturbridge-ma,MA,5,-72.055,42.0971,CDP,305,419
2204,2572,-0.02521,North Falmouth,3.893,41.642,-70.6307,north-falmouth-ma,MA,5,-70.6307,41.642,CDP,306,566
2187,1377,0.10232,Bourne,1.705,41.732,-70.6158,bourne-ma,MA,5,-70.6158,41.732,CDP,307,1283
2171,1741,0.04829,North Eastham,3.443,41.8333,-70.0038,north-eastham-ma,MA,5,-70.0038,41.8333,CDP,308,631
2139,2985,-0.08979,East Douglas,3.407,42.0811,-71.7195,east-douglas-ma,MA,5,-71.7195,42.0811,CDP,309,628
2131,1347,0.10129,Brewster,3.897,41.7609,-70.0704,brewster-ma,MA,5,-70.0704,41.7609,CDP,310,547
2104,2099,0.00238,Bernardston,23.39,42.6919,-72.5598,bernardston-ma,MA,,-72.5598,42.6919,Town,311,90
2097,3193,-0.11556,Mattapoisett Center,4.885,41.672,-70.7992,mattapoisett-center-ma,MA,5,-70.7992,41.672,CDP,312,429
2082,1916,0.02059,East Pepperell,1.416,42.6625,-71.5621,east-pepperell-ma,MA,5,-71.5621,42.6625,CDP,313,1470
2063,1697,0.04668,Essex,2.059,42.6404,-70.7712,essex-ma,MA,5,-70.7712,42.6404,CDP,314,1002
2039,2685,-0.03911,Pepperell,2.071,42.6755,-71.5921,pepperell-ma,MA,5,-71.5921,42.6755,CDP,315,985
2037,2409,-0.04366,White Island Shores,1.158,41.7978,-70.6372,white-island-shores-ma,MA,5,-70.6372,41.7978,CDP,316,1759
2014,1984,0.00399,Lenox,1.995,42.3612,-73.2868,lenox-ma,MA,5,-73.2868,42.3612,CDP,317,1010
1972,2009,-0.01842,Stockbridge,22.742,42.302,-73.323,stockbridge-ma,MA,,-73.323,42.302,Town,318,87
1921,1931,-0.00518,Becket,46.065,42.2865,-73.0848,becket-ma,MA,,-73.0848,42.2865,Town,319,42
1919,1224,0.08052,West Chatham,2.924,41.681,-69.9926,west-chatham-ma,MA,5,-69.9926,41.681,CDP,320,656
1899,1287,0.08763,Weweantic,1.269,41.7476,-70.74,weweantic-ma,MA,5,-70.74,41.7476,CDP,321,1496
1888,1853,0.01889,Oakham,20.821,42.3509,-72.0443,oakham-ma,MA,,-72.0443,42.3509,Town,322,91
1882,1884,-0.00106,Shelburne,23.157,42.6186,-72.6793,shelburne-ma,MA,,-72.6793,42.6186,Town,323,81
1874,1914,-0.0209,Hinsdale,20.73,42.4358,-73.1128,hinsdale-ma,MA,,-73.1128,42.4358,Town,324,90
1858,1856,0.00108,Leverett,22.791,42.4689,-72.4846,leverett-ma,MA,,-72.4846,42.4689,Town,325,82
1834,1962,-0.01715,Dennis,4.911,41.7302,-70.1974,dennis-ma,MA,5,-70.1974,41.7302,CDP,326,373
1817,1127,0.10523,Groton,1.672,42.6116,-71.5647,groton-ma,MA,5,-71.5647,42.6116,CDP,327,1087
1811,1519,0.042,Orleans,2.32,41.7878,-70.0015,orleans-ma,MA,5,-70.0015,41.7878,CDP,328,781
1802,1811,-0.00497,Buckland,19.667,42.5921,-72.7886,buckland-ma,MA,,-72.7886,42.5921,Town,329,92
1785,1827,-0.02299,Wales,15.753,42.0613,-72.2344,wales-ma,MA,,-72.2344,42.0613,Town,330,113
1756,2150,-0.05286,South Deerfield,3.154,42.4814,-72.5898,south-deerfield-ma,MA,5,-72.5898,42.4814,CDP,331,557
1750,1836,-0.01186,West Falmouth,3.081,41.6015,-70.6393,west-falmouth-ma,MA,5,-70.6393,41.6015,CDP,332,568
1748,1767,-0.01075,Conway,37.721,42.5086,-72.7072,conway-ma,MA,,-72.7072,42.5086,Town,333,46
1729,1659,0.00875,Shelburne Falls,2.629,42.6095,-72.747,shelburne-falls-ma,MA,5,-72.747,42.6095,CDP,334,658
1724,1550,0.02619,Chatham,2.637,41.6739,-69.963,chatham-ma,MA,5,-69.963,41.6739,CDP,335,654
1724,1720,0.00233,Shutesbury,26.512,42.457,-72.4172,shutesbury-ma,MA,,-72.4172,42.457,Town,336,65
1710,1723,-0.00754,Phillipston,24.249,42.556,-72.1509,phillipston-ma,MA,,-72.1509,42.556,Town,337,71
1686,1575,0.01322,South Lancaster,1.326,42.437,-71.6971,south-lancaster-ma,MA,5,-71.6971,42.437,CDP,338,1271
1686,1686,0,Ashfield,39.994,42.5203,-72.8056,ashfield-ma,MA,,-72.8056,42.5203,Town,339,42
1671,1659,0.00723,Erving,13.792,42.6134,-72.4264,erving-ma,MA,,-72.4264,42.6134,Town,340,121
1658,1688,-0.0042,Monson Center,3.355,42.0979,-72.2961,monson-center-ma,MA,5,-72.2961,42.0979,CDP,341,494
1636,2213,-0.07204,Great Barrington,1.441,42.194,-73.3615,great-barrington-ma,MA,5,-73.3615,42.194,CDP,342,1135
1631,1749,-0.01747,Rutland,2.958,42.3715,-71.9577,rutland-ma,MA,5,-71.9577,42.3715,CDP,343,551
1627,1603,0.01497,Colrain,43.083,42.6947,-72.711,colrain-ma,MA,,-72.711,42.6947,Town,344,38
1621,1654,-0.01995,Clarksburg,12.691,42.7227,-73.1058,clarksburg-ma,MA,,-73.1058,42.7227,Town,345,128
1616,1616,0,Westhampton,27.177,42.3141,-72.778,westhampton-ma,MA,,-72.778,42.3141,Town,346,59
1613,1616,-0.00186,Whately,20.155,42.431,-72.6424,whately-ma,MA,,-72.6424,42.431,Town,347,80
1612,1633,-0.01286,Otis,35.561,42.2043,-73.085,otis-ma,MA,,-73.085,42.2043,Town,348,45
1603,1049,0.09495,Onset,1.078,41.746,-70.6683,onset-ma,MA,5,-70.6683,41.746,CDP,349,1487
1572,1552,0.01289,Gill,13.77,42.6241,-72.5086,gill-ma,MA,,-72.5086,42.6241,Town,350,114
1553,1511,0.00713,West Brookfield,1.263,42.2419,-72.1469,west-brookfield-ma,MA,5,-72.1469,42.2419,CDP,351,1230
1529,819,0.13175,Green Harbor,0.333,42.066,-70.6487,green-harbor-ma,MA,5,-70.6487,42.066,CDP,352,4592
1519,2007,-0.07434,Devens,6.784,42.5434,-71.614,devens-ma,MA,5,-71.614,42.5434,CDP,353,224
1518,2119,-0.08056,Hanscom AFB,0.892,42.4582,-71.2793,hanscom-afb-ma,MA,5,-71.2793,42.4582,CDP,354,1702
1514,1608,-0.01496,Teaticket,1.054,41.5626,-70.5873,teaticket-ma,MA,5,-70.5873,41.5626,CDP,355,1436
1514,1536,-0.01432,Granville,42.316,42.0874,-72.9083,granville-ma,MA,,-72.9083,42.0874,Town,356,36
1506,1508,0,Lee,1.325,42.3068,-73.2507,lee-ma,MA,5,-73.2507,42.3068,CDP,357,1137
1486,1525,-0.02557,New Marlborough,46.885,42.0984,-73.2459,new-marlborough-ma,MA,,-73.2459,42.0984,Town,358,32
1481,1803,-0.05125,Rowley,1.714,42.718,-70.8669,rowley-ma,MA,5,-70.8669,42.718,CDP,359,864
1474,1430,0.00752,Holland,2.654,42.0511,-72.1528,holland-ma,MA,5,-72.1528,42.0511,CDP,360,555
1465,1154,0.04793,Hatfield,2.45,42.3729,-72.6037,hatfield-ma,MA,5,-72.6037,42.3729,CDP,361,598
1417,1273,0.02607,East Brookfield,1.618,42.2291,-72.0524,east-brookfield-ma,MA,5,-72.0524,42.2291,CDP,362,876
1388,1409,-0.0149,Richmond,18.707,42.3835,-73.3592,richmond-ma,MA,,-73.3592,42.3835,Town,363,74
1387,1383,-0.0114,Harwich Center,2.249,41.6921,-70.0663,harwich-center-ma,MA,5,-70.0663,41.6921,CDP,364,617
1374,1370,0.00292,Egremont,18.667,42.1735,-73.4449,egremont-ma,MA,,-73.4449,42.1735,Town,365,74
1307,1339,-0.0239,West Stockbridge,18.453,42.3124,-73.388,west-stockbridge-ma,MA,,-73.388,42.3124,Town,366,71
1263,1252,0.00879,Royalston,41.792,42.689,-72.1853,royalston-ma,MA,,-72.1853,42.689,Town,367,30
1256,1280,-0.01875,Pelham,25.103,42.3716,-72.4125,pelham-ma,MA,,-72.4125,42.3716,Town,368,50
1225,1276,0.0399,Townsend,1.694,42.6767,-71.7098,townsend-ma,MA,5,-71.7098,42.6767,CDP,369,723
1215,883,0.07332,South Ashburnham,2.984,42.6211,-71.9434,south-ashburnham-ma,MA,5,-71.9434,42.6211,CDP,370,407
1207,1215,-0.00658,Chilmark,19.036,41.303,-70.7787,chilmark-ma,MA,,-70.7787,41.303,Town,371,63
1180,716,0.10902,Brookfield,1.152,42.215,-72.1027,brookfield-ma,MA,5,-72.1027,42.215,CDP,372,1024
1173,1184,-0.00929,Charlemont,26.251,42.6331,-72.8547,charlemont-ma,MA,,-72.8547,42.6331,Town,373,45
1173,1191,-0.01511,Worthington,31.957,42.3976,-72.9434,worthington-ma,MA,,-72.9434,42.3976,Town,374,37
1169,1183,-0.00256,Granby,3.475,42.266,-72.5289,granby-ma,MA,5,-72.5289,42.266,CDP,375,336
1165,682,0.08372,Housatonic,0.891,42.2412,-73.3562,housatonic-ma,MA,5,-73.3562,42.2412,CDP,376,1308
1157,1186,-0.02445,Chesterfield,30.849,42.3779,-72.842,chesterfield-ma,MA,,-72.842,42.3779,Town,377,38
1137,1403,-0.05486,Mashpee Neck,1.266,41.6127,-70.4679,mashpee-neck-ma,MA,5,-70.4679,41.6127,CDP,378,898
1121,1158,0.0275,Millers Falls,0.913,42.5792,-72.4922,millers-falls-ma,MA,5,-72.4922,42.5792,CDP,379,1228
1071,1092,-0.01923,Monterey,26.434,42.1869,-73.2231,monterey-ma,MA,,-73.2231,42.1869,Town,380,41
1051,933,0.02938,Woods Hole,2.135,41.5287,-70.6665,woods-hole-ma,MA,5,-70.6665,41.5287,CDP,381,492
1032,983,0.04985,New Salem,44.758,42.4585,-72.3272,new-salem-ma,MA,,-72.3272,42.4585,Town,382,23
1002,1716,-0.15085,Shirley,1.318,42.5365,-71.6674,shirley-ma,MA,5,-71.6674,42.5365,CDP,383,760
984,992,-0.00806,New Braintree,20.762,42.3262,-72.1334,new-braintree-ma,MA,,-72.1334,42.3262,Town,384,47
978,985,-0.00711,Sandisfield,51.802,42.1075,-73.1186,sandisfield-ma,MA,,-73.1186,42.1075,Town,385,19
931,959,-0.0292,Goshen,17.301,42.4376,-72.8111,goshen-ma,MA,,-72.8111,42.4376,Town,386,54
